City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,kerikeri,-35.2268,173.9474,288.66,91,3,1.37,NZ,1714466388
115,havre,49.5833,0.3333,285.56,82,0,3.6,FR,1714466388
116,pacocha,-17.5833,-71.3333,292.24,86,29,0.21,PE,1714466389
117,alice springs,-23.7,133.8833,296.9,15,53,6.17,AU,1714466389
118,abeche,13.8292,20.8324,312.68,6,0,8.55,TD,1714466389
119,aldan,58.6031,125.3894,274.29,99,100,2.99,RU,1714466389
120,ouallam,14.3188,2.0866,310.64,14,48,5.85,NE,1714466389
121,codrington,-38.2667,141.9667,286.35,71,100,5.8,AU,1714466389
122,el fasher,13.6279,25.3494,309.59,6,0,7.34,SD,1714466389
123,waddan,29.1614,16.139,308.56,14,94,3.8,LY,1714466390
124,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,63,20,12.96,RU,1714466390
125,sunne,59.8376,13.143,286.33,57,2,2.76,SE,1714466390
126,tahoua,14.8888,5.2692,308.14,34,2,3.6,NE,1714466390
127,cidreira,-30.1811,-50.2056,294.39,97,100,0.78,BR,1714466390
128,soio,-6.1349,12.3689,302.91,69,72,1.52,AO,1714466390
129,new norfolk,-42.7826,147.0587,284.22,94,91,1.14,AU,1714466391
130,nema,57.5067,50.5011,287.31,54,100,4.94,RU,1714466266
131,san juan nepomuceno,9.9516,-75.082,297.27,90,98,1.33,CO,1714466356
132,susuman,62.7833,148.1667,270.92,66,83,5.36,RU,1714466391
133,key largo,25.0865,-80.4473,297.59,62,7,7.02,US,1714466343
134,ust-nera,64.5667,143.2,269.84,94,100,3.08,RU,1714466391
135,aasiaat,68.7098,-52.8699,267.62,84,99,8.2,GL,1714466392
136,pasuquin,18.3328,120.6177,305.12,66,40,3.09,PH,1714466392
137,touros,-5.1989,-35.4608,297.95,91,100,2.48,BR,1714466392
138,mikhaylovsk,45.1283,42.0256,285.27,87,100,5.0,RU,1714466392
139,iskateley,67.6803,53.1512,271.74,91,100,5.33,RU,1714466392
140,bengkulu,-3.8004,102.2655,303.08,72,93,1.95,ID,1714466392
141,college,64.8569,-147.8028,279.15,52,75,1.54,US,1714466393
142,fort bragg,35.139,-79.006,292.06,85,0,4.12,US,1714466393
143,south sioux city,42.4739,-96.4136,281.92,65,0,3.09,US,1714466393
144,anadyr,64.75,177.4833,272.43,86,40,4.0,RU,1714466393
145,port alfred,-33.5906,26.891,298.81,66,3,3.63,ZA,1714466393
146,puerto baquerizo moreno,-0.9,-89.6,297.49,84,12,2.27,EC,1714466393
147,chonchi,-42.6128,-73.8092,277.1,95,100,1.23,CL,1714466393
148,isafjordur,66.0755,-23.124,277.17,81,100,2.06,IS,1714466394
149,magadan,59.5667,150.8,275.67,90,98,5.39,RU,1714466394
150,dul'durga,50.6761,113.5931,294.14,16,34,5.33,RU,1714466394
151,sidi khaled,34.387,4.9879,294.74,48,18,7.48,DZ,1714466394
152,klyuchi,52.2667,79.1667,282.26,29,100,2.79,RU,1714466394
153,bam,29.106,58.357,299.68,12,0,5.44,IR,1714466394
154,namibe,-15.1961,12.1522,302.19,49,2,2.3,AO,1714466394
155,christchurch,-43.5333,172.6333,286.11,78,100,1.54,NZ,1714466120
156,alta,69.9689,23.2717,278.74,52,20,2.06,NO,1714466395
157,hinton,53.4001,-117.5857,271.55,81,44,1.27,CA,1714466395
158,anshun,26.25,105.9333,292.35,58,8,6.74,CN,1714466395
159,hasaki,35.7333,140.8333,295.53,93,100,4.9,JP,1714466361
160,robertsport,6.7533,-11.3686,302.11,77,14,2.13,LR,1714466395
161,constantia,44.1833,28.65,288.54,83,100,9.08,RO,1714466395
162,rikaze,29.25,88.8833,291.13,4,83,6.09,CN,1714466396
163,inhambane,-23.865,35.3833,300.14,61,20,0.0,MZ,1714466396
164,kulhudhuffushi,6.6221,73.07,301.89,81,100,4.69,MV,1714466396
